,0
loo,-3235.76132552727
loo_se,63.127176645574366
p_loo,115.16571957033739
n_samples,8000
n_data_points,11630
warning,False
loo_i,"<xarray.DataArray 'loo_i' (log_lik_dim_0: 11630)>
array([-0.06269266, -1.82699963, -0.06484942, ..., -0.0102495 ,
       -0.0102631 , -0.01035081])
Coordinates:
  * log_lik_dim_0  (log_lik_dim_0) int64 0 1 2 3 4 ... 11626 11627 11628 11629"
pareto_k,"<xarray.DataArray 'pareto_shape' (log_lik_dim_0: 11630)>
array([0.03037448, 0.09061424, 0.05713268, ..., 0.02340877, 0.02278061,
       0.03075888])
Coordinates:
  * log_lik_dim_0  (log_lik_dim_0) int64 0 1 2 3 4 ... 11626 11627 11628 11629"
loo_scale,log
