IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,RT,PT,accuracy,key,stim,acc00,acc0,time0,key0,stim0,y,exp,err00,err0,time,key_rep,stim_rep,key_stim_rep,time_rep
NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,f,blue,55ae64defdf99b3f864653e7,2021-09-27_16h09.33.908,forced_choiceRT_color,2021.2.3,Win32,60.150375940000004,NA,NA,NA,NA,NA,NA,NA,1,Ontime,long,f,1,1.925,1,2,6,1,1,NA,NA,NA,NA,NA,1925,907.5,1,f,f,1,1,752,f,f,1,memory_color_long,-0.5,-0.5,0.9075,TRUE,TRUE,TRUE,FALSE
NA,1.32,NA,NA,NA,NA,NA,NA,NA,NA,d,orange,55ae64defdf99b3f864653e7,2021-09-27_16h09.33.908,forced_choiceRT_color,2021.2.3,Win32,60.150375940000004,NA,NA,NA,NA,NA,NA,NA,1,Ontime,long,j,0,2.0325,2,0,8,0,1,NA,NA,NA,NA,NA,2032.5000000000002,356.25000000000006,0,j,d,1,0,187.64999999999998,j,k,0,memory_color_long,-0.5,0.5,0.35625000000000007,TRUE,FALSE,FALSE,FALSE
NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,d,orange,55ae64defdf99b3f864653e7,2021-09-27_16h09.33.908,forced_choiceRT_color,2021.2.3,Win32,60.150375940000004,NA,NA,NA,NA,NA,NA,NA,1,Ontime,long,d,1,2.0363,3,1,13,0,1,NA,NA,NA,NA,NA,2036.3000000000002,618.1500000000001,1,d,d,1,1,307.40000000000003,d,d,1,memory_color_long,-0.5,-0.5,0.6181500000000001,TRUE,TRUE,TRUE,FALSE
NA,1.22,NA,NA,NA,NA,NA,NA,NA,NA,j,red,55ae64defdf99b3f864653e7,2021-09-27_16h09.33.908,forced_choiceRT_color,2021.2.3,Win32,60.150375940000004,NA,NA,NA,NA,NA,NA,NA,1,Ontime,long,f,0,2.0727,3,2,14,2,1,NA,NA,NA,NA,NA,2072.7000000000003,426.35000000000014,0,f,j,1,1,618.1500000000001,d,d,0,memory_color_long,-0.5,-0.5,0.4263500000000001,FALSE,FALSE,FALSE,FALSE
NA,1.07,NA,NA,NA,NA,NA,NA,NA,NA,d,orange,55ae64defdf99b3f864653e7,2021-09-27_16h09.33.908,forced_choiceRT_color,2021.2.3,Win32,60.150375940000004,NA,NA,NA,NA,NA,NA,NA,1,Ontime,long,d,1,2.056,4,1,17,0,1,NA,NA,NA,NA,NA,2056,493,1,d,d,1,0,299.5499999999999,j,f,1,memory_color_long,-0.5,0.5,0.493,FALSE,FALSE,FALSE,FALSE
NA,1.14,NA,NA,NA,NA,NA,NA,NA,NA,j,red,55ae64defdf99b3f864653e7,2021-09-27_16h09.33.908,forced_choiceRT_color,2021.2.3,Win32,60.150375940000004,NA,NA,NA,NA,NA,NA,NA,1,Ontime,long,j,1,2.0889,4,3,19,2,1,NA,NA,NA,NA,NA,2088.9,474.45000000000016,1,j,j,1,0,479.8000000000001,j,f,1,memory_color_long,-0.5,0.5,0.47445000000000015,TRUE,FALSE,TRUE,FALSE
NA,1.01,NA,NA,NA,NA,NA,NA,NA,NA,d,orange,55ae64defdf99b3f864653e7,2021-09-27_16h09.33.908,forced_choiceRT_color,2021.2.3,Win32,60.150375940000004,NA,NA,NA,NA,NA,NA,NA,1,Ontime,long,d,1,1.9642,6,0,24,0,1,NA,NA,NA,NA,NA,1964.2,477.09999999999997,1,d,d,0,1,810.1,d,d,1,memory_color_long,0.5,-0.5,0.47709999999999997,TRUE,TRUE,TRUE,FALSE
NA,1.45,NA,NA,NA,NA,NA,NA,NA,NA,k,purple,55ae64defdf99b3f864653e7,2021-09-27_16h09.33.908,forced_choiceRT_color,2021.2.3,Win32,60.150375940000004,NA,NA,NA,NA,NA,NA,NA,1,Ontime,long,k,1,2.0957,6,1,25,3,1,NA,NA,NA,NA,NA,2095.7,322.84999999999997,1,k,k,1,1,477.09999999999997,d,d,1,memory_color_long,-0.5,-0.5,0.32284999999999997,FALSE,FALSE,FALSE,FALSE
NA,1.27,NA,NA,NA,NA,NA,NA,NA,NA,j,red,55ae64defdf99b3f864653e7,2021-09-27_16h09.33.908,forced_choiceRT_color,2021.2.3,Win32,60.150375940000004,NA,NA,NA,NA,NA,NA,NA,1,Ontime,long,d,0,2.0041,6,2,26,2,1,NA,NA,NA,NA,NA,2004.1000000000001,367.0500000000001,0,d,j,1,1,322.84999999999997,k,k,0,memory_color_long,-0.5,-0.5,0.3670500000000001,FALSE,FALSE,FALSE,FALSE
NA,0.91,NA,NA,NA,NA,NA,NA,NA,NA,d,orange,55ae64defdf99b3f864653e7,2021-09-27_16h09.33.908,forced_choiceRT_color,2021.2.3,Win32,60.150375940000004,NA,NA,NA,NA,NA,NA,NA,1,Ontime,long,d,1,2.0137,7,0,28,0,1,NA,NA,NA,NA,NA,2013.7,551.8499999999999,1,d,d,0,0,295.54999999999995,f,j,1,memory_color_long,0.5,0.5,0.55185,FALSE,FALSE,FALSE,FALSE
