IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,RT,PT,PT_scale,accuracy,key,stim,acc00,acc0,time0,key0,stim0,y,exp,err00,err0,time,key_rep,stim_rep,key_stim_rep,time_rep
NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,j.PNG,j,55e49dccc70c7a000d2a57e5,2021-09-08_17h52.58.332,forced_choiceRT,2021.1.2,Win32,60.90875868,NA,NA,NA,NA,NA,NA,NA,1,Ontime,j,1,1.9896,0,2,2,3,1,NA,NA,NA,NA,NA,1989.6000000000001,944.8,2,1,j,j,0,0,66.69999999999999,h,f,1,memory,0.5,0.5,0.9448,FALSE,FALSE,FALSE,TRUE
NA,1.17,NA,NA,NA,NA,NA,NA,NA,NA,f.PNG,f,55e49dccc70c7a000d2a57e5,2021-09-08_17h52.58.332,forced_choiceRT,2021.1.2,Win32,60.90875868,NA,NA,NA,NA,NA,NA,NA,1,Ontime,f,1,1.982,0,3,3,0,1,NA,NA,NA,NA,NA,1982,406,2,1,f,f,0,1,944.8,j,j,1,memory,0.5,-0.5,0.406,FALSE,FALSE,FALSE,FALSE
NA,1.34,NA,NA,NA,NA,NA,NA,NA,NA,h.PNG,h,55e49dccc70c7a000d2a57e5,2021-09-08_17h52.58.332,forced_choiceRT,2021.1.2,Win32,60.90875868,NA,NA,NA,NA,NA,NA,NA,1,Ontime,h,1,2.0078,1,1,5,2,1,NA,NA,NA,NA,NA,2007.8,333.9,2,1,h,h,1,0,197.7000000000001,h,j,1,memory,-0.5,0.5,0.3339,TRUE,FALSE,TRUE,FALSE
NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,j.PNG,j,55e49dccc70c7a000d2a57e5,2021-09-08_17h52.58.332,forced_choiceRT,2021.1.2,Win32,60.90875868,NA,NA,NA,NA,NA,NA,NA,1,Ontime,j,1,1.9651,1,2,6,3,1,NA,NA,NA,NA,NA,1965.1000000000001,667.5500000000001,2,1,j,j,0,1,333.9,h,h,1,memory,0.5,-0.5,0.6675500000000001,FALSE,FALSE,FALSE,FALSE
NA,1.56,NA,NA,NA,NA,NA,NA,NA,NA,f.PNG,f,55e49dccc70c7a000d2a57e5,2021-09-08_17h52.58.332,forced_choiceRT,2021.1.2,Win32,60.90875868,NA,NA,NA,NA,NA,NA,NA,1,Ontime,f,1,2.0494,2,0,8,0,1,NA,NA,NA,NA,NA,2049.4,244.69999999999993,2,1,f,f,1,1,345.19999999999993,j,j,1,memory,-0.5,-0.5,0.24469999999999995,FALSE,FALSE,FALSE,FALSE
NA,1.38,NA,NA,NA,NA,NA,NA,NA,NA,g.PNG,g,55e49dccc70c7a000d2a57e5,2021-09-08_17h52.58.332,forced_choiceRT,2021.1.2,Win32,60.90875868,NA,NA,NA,NA,NA,NA,NA,1,Ontime,g,1,1.9013,2,1,9,1,1,NA,NA,NA,NA,NA,1901.3,260.65000000000003,2,1,g,g,1,1,244.69999999999993,f,f,1,memory,-0.5,-0.5,0.26065000000000005,FALSE,FALSE,FALSE,FALSE
NA,0,NA,NA,NA,NA,NA,NA,NA,NA,h.PNG,h,55e49dccc70c7a000d2a57e5,2021-09-08_17h52.58.332,forced_choiceRT,2021.1.2,Win32,60.90875868,NA,NA,NA,NA,NA,NA,NA,1,Ontime,h,1,1.9886,3,2,14,2,1,NA,NA,NA,NA,NA,1988.6,994.3,2,1,h,h,1,0,245.9,g,f,1,memory,-0.5,0.5,0.9943,FALSE,FALSE,FALSE,FALSE
NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,j.PNG,j,55e49dccc70c7a000d2a57e5,2021-09-08_17h52.58.332,forced_choiceRT,2021.1.2,Win32,60.90875868,NA,NA,NA,NA,NA,NA,NA,1,Ontime,j,1,2.0341,3,3,15,3,1,NA,NA,NA,NA,NA,2034.1,787.0500000000001,2,1,j,j,0,1,994.3,h,h,1,memory,0.5,-0.5,0.78705,FALSE,FALSE,FALSE,FALSE
NA,1.37,NA,NA,NA,NA,NA,NA,NA,NA,g.PNG,g,55e49dccc70c7a000d2a57e5,2021-09-08_17h52.58.332,forced_choiceRT,2021.1.2,Win32,60.90875868,NA,NA,NA,NA,NA,NA,NA,1,Ontime,f,0,2.0199,4,0,16,1,1,NA,NA,NA,NA,NA,2019.8999999999999,324.9499999999999,2,0,f,g,1,1,787.0500000000001,j,j,0,memory,-0.5,-0.5,0.32494999999999985,FALSE,FALSE,FALSE,FALSE
NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,f.PNG,f,55e49dccc70c7a000d2a57e5,2021-09-08_17h52.58.332,forced_choiceRT,2021.1.2,Win32,60.90875868,NA,NA,NA,NA,NA,NA,NA,1,Ontime,f,1,1.9886,4,2,18,0,1,NA,NA,NA,NA,NA,1988.6,889.3,2,1,f,f,0,1,500.75,g,g,1,memory,0.5,-0.5,0.8893,FALSE,FALSE,FALSE,FALSE
NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,h.PNG,h,55e49dccc70c7a000d2a57e5,2021-09-08_17h52.58.332,forced_choiceRT,2021.1.2,Win32,60.90875868,NA,NA,NA,NA,NA,NA,NA,1,Ontime,h,1,1.9837,5,2,22,2,1,NA,NA,NA,NA,NA,1983.7,961.85,2,1,h,h,1,1,632.1999999999999,j,j,1,memory,-0.5,-0.5,0.96185,FALSE,FALSE,FALSE,FALSE
NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,h.PNG,h,55e49dccc70c7a000d2a57e5,2021-09-08_17h52.58.332,forced_choiceRT,2021.1.2,Win32,60.90875868,NA,NA,NA,NA,NA,NA,NA,1,Ontime,h,1,1.9677,5,3,23,2,1,NA,NA,NA,NA,NA,1967.7,408.85,2,1,h,h,1,1,961.85,h,h,1,memory,-0.5,-0.5,0.40885000000000005,TRUE,TRUE,TRUE,FALSE
NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,f.PNG,f,55e49dccc70c7a000d2a57e5,2021-09-08_17h52.58.332,forced_choiceRT,2021.1.2,Win32,60.90875868,NA,NA,NA,NA,NA,NA,NA,1,Ontime,f,1,2.0649,6,2,26,0,1,NA,NA,NA,NA,NA,2064.9,582.4500000000002,2,1,f,f,1,1,1017.05,j,j,1,memory,-0.5,-0.5,0.5824500000000001,FALSE,FALSE,FALSE,FALSE
NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,j.PNG,j,55e49dccc70c7a000d2a57e5,2021-09-08_17h52.58.332,forced_choiceRT,2021.1.2,Win32,60.90875868,NA,NA,NA,NA,NA,NA,NA,1,Ontime,j,1,1.9807,7,1,29,3,1,NA,NA,NA,NA,NA,1980.6999999999998,950.3499999999999,2,1,j,j,0,1,596,j,j,1,memory,0.5,-0.5,0.9503499999999999,TRUE,TRUE,TRUE,FALSE
