,0
waic,-3231.5057253805667
waic_se,63.1541271556558
p_waic,123.08644024993927
n_samples,8000
n_data_points,11630
warning,True
waic_i,"<xarray.DataArray 'waic_i' (log_lik_dim_0: 11630)>
array([-0.05821778, -1.82607974, -0.06106331, ..., -0.0098372 ,
       -0.00985379, -0.00995995])
Coordinates:
  * log_lik_dim_0  (log_lik_dim_0) int64 0 1 2 3 4 ... 11626 11627 11628 11629"
waic_scale,log
