mu_loc,sigma_loc,beta_loc,alpha_loc,delta_mu_loc,delta_sigma_loc,delta_beta_loc,delta_alpha_loc,mu_post_err,sigma_post_err,beta_post_err,alpha_post_err,mu_post_cor,sigma_post_cor,beta_post_cor,alpha_post_cor,mu_diff,sigma_diff,beta_diff
-1.3006735656222332,-1.950008827036466,2.629540661921564,-1.327883784450846,-0.07086682802944544,0.3906058982844409,-0.8737033516725898,0,0.20815099333737486,0.14745463182855384,0.8995910555665495,0.20950962752710064,0.22007314837637035,0.10477013327624421,0.955484978044821,0.20950962752710064,-0.011922155038995491,0.04268449855230963,-0.05589392247827152
-1.1924611285971771,-2.227275162050598,2.806370494807392,-1.2766423131160731,0.04573362134099973,-0.0768638221292395,-0.768980878045507,0,0.2369283210428168,0.09400318949631307,0.918480622572742,0.21812231819373115,0.22875969140073138,0.1007568523114884,0.9604889058161348,0.21812231819373115,0.008168629642085423,-0.006753662815175324,-0.042008283243392786
-1.209786601331934,-2.0464406695545168,2.6767132954189448,-1.4506827001214082,-0.04173152378550079,0.1609404132228557,-0.8443933998490761,0,0.2260672673045774,0.1228223577646177,0.9050394159477577,0.18989652003936308,0.23345199833501842,0.10650860954065051,0.9568477610372949,0.18989652003936308,-0.007384731030441016,0.01631374822396718,-0.05180834508953713
-1.2512724664495904,-2.2577533735505515,2.6623376758268265,-1.4967887496219845,-0.0029732467964310883,-0.10079793523955646,-1.095041709246032,0,0.22222289260647374,0.09045003444567101,0.8923349762842648,0.1829049589282334,0.22273721261979484,0.09909200233515654,0.961203590307842,0.1829049589282334,-0.0005143200133211068,-0.008641967889485527,-0.06886861402357713
-1.3364498457925913,-2.282816473419888,2.5375167810023647,-1.4033716563211085,0.06678862856406201,-0.5493495493318836,-0.9843643636452665,0,0.21365122514184742,0.07192482584226645,0.8854753564284193,0.19728162557643678,0.20264502588243008,0.11835074262773047,0.9538979361609382,0.19728162557643678,0.011006199259417343,-0.046425916785464025,-0.06842257973251886
-1.390854559638817,-2.1850035933100616,2.7526363497194684,-1.7884209819027472,-0.0846764574070198,-0.19841488757778422,-1.1236497732387027,0,0.19260169823371745,0.09243906517662369,0.8994213372899957,0.143266424837192,0.20611303938905282,0.1104850447864891,0.9649215979099997,0.143266424837192,-0.013511341155335366,-0.018045979609865412,-0.06550026062000391
-1.300106456173045,-2.360239014128572,2.8404882182006137,-1.286730431908322,0.02407900908030168,-0.3397592884173461,-1.0818303582186093,0,0.21618017902547587,0.073773538149163,0.9088416720939436,0.21640673326528134,0.21212796880411017,0.10061956761814633,0.9671182632458759,0.21640673326528134,0.004052210221365704,-0.026846029468983332,-0.05827659115193229
-1.2583806339900034,-2.1140115197664104,2.7487702506722127,-1.411658285294118,0.009641678462404981,-0.26609321613895087,-0.9768295758360221,0,0.2220845296485912,0.0956035270047541,0.9055400407486944,0.19597263298930132,0.22042326877285087,0.12121601532635569,0.9622098848740261,0.19597263298930132,0.001661260875740339,-0.025612488321601595,-0.056669844125331714
-1.2096670481401879,-2.3836378113538004,2.6804698141965657,-1.3831979141876005,0.0022640566729221338,-0.2727947780944004,-0.9602391266340716,0,0.22996036495729608,0.07446551910377525,0.9002809591155646,0.2004958917637088,0.22955969411681754,0.09558776635003634,0.9593239510549244,0.2004958917637088,0.00040067084047853974,-0.02112224724626109,-0.0590429919393598
-1.3432520221087965,-1.8883561677244867,2.8337713355956793,-1.6489231143572558,0.02273688719201567,0.09605949783796308,-0.974412733080567,0,0.2088479699227929,0.13701269217266676,0.9126608054486314,0.16125454686793658,0.20511600873774627,0.12604543889344585,0.9651414996409664,0.16125454686793658,0.0037319611850466228,0.010967253279220907,-0.05248069419233503
-1.2726372800282453,-2.0760413497390044,2.683211047930054,-1.4460267003849108,0.022157027266493712,0.03809759242039041,-0.8710939270905859,0,0.22070567597713023,0.11334772721801792,0.9044488532776255,0.1906138139944256,0.21691837715390275,0.10957494971151738,0.9576598973445795,0.1906138139944256,0.0037872988232274807,0.003772777506500541,-0.05321104406695398
-1.3458571970228976,-1.699603725749862,3.0018049996001848,-1.822847742415551,-0.06604303162684258,0.18011621009528997,-0.8948146477112893,0,0.20118914375750216,0.16665170772206558,0.9278683994511748,0.1390925171945884,0.2120127189164361,0.1431141890160859,0.9692076417612878,0.1390925171945884,-0.010823575158933951,0.02353751870597967,-0.04133924231011299
-1.1866054399258232,-2.3811032159127867,2.627635792227501,-1.381576102675931,0.011218394538965708,-0.23624448018239955,-0.9429547680722581,0,0.23487311643868042,0.07591249627506194,0.8962428561739956,0.2007559900354594,0.23286308367583292,0.0942356190124186,0.9568561496238462,0.2007559900354594,0.0020100327628475023,-0.01832312273735666,-0.06061329344985067
-1.3393304667160464,-2.1686992160017025,2.7071773592223467,-1.5755067556746851,0.01979626481962177,-0.26582634407934475,-0.8714322785780934,0,0.20925327927749482,0.09098951174325431,0.9064857280246039,0.17143277659973744,0.20599651501793637,0.11549652045138052,0.95862779084919,0.17143277659973744,0.0032567642595584534,-0.024507008708126207,-0.05214206282458611
-1.286272578685862,-2.0842057559588474,2.7042443972948846,-1.4107506782206236,0.021371967608403406,0.06744097142052191,-0.887410476184312,0,0.218302419209333,0.11400335660414641,0.9055557524718839,0.19611568170255636,0.214677330894724,0.10736665576479856,0.9588278556623426,0.19611568170255636,0.003625088314609004,0.0066367008393478505,-0.05327210319045872
-1.1707916633062756,-2.181045024218011,2.6635220785438554,-1.4275189870582325,0.09624086687979405,0.056691998486343376,-0.9472816295549699,0,0.24551613407390258,0.10407927864957296,0.8993371577739918,0.19348554915620042,0.2281279580014215,0.09891033622419089,0.9583999136119029,0.19348554915620042,0.017388176072481082,0.005168942425382073,-0.059062755837911096
-1.210581974163806,-2.178711053549907,2.604857177249859,-1.333164856857936,0.016571450432039683,-0.021035819214725724,-1.081257217477318,0,0.23106697847767224,0.10072191027655909,0.8873774603224691,0.20863634264293174,0.2281357758323556,0.10264333932400124,0.9587304802504636,0.20863634264293174,0.002931202645316655,-0.0019214290474421497,-0.07135301992799448
