mu_loc,sigma_loc,beta_loc,alpha_loc,delta_mu_loc,delta_sigma_loc,delta_beta_loc,delta_alpha_loc,mu_post_err,sigma_post_err,beta_post_err,alpha_post_err,mu_post_cor,sigma_post_cor,beta_post_cor,alpha_post_cor,mu_diff,sigma_diff,beta_diff
-1.0713771826004728,-2.7417450661890546,3.664457347541094,-1.1299751721750555,0.028924287594066046,0.554992639668928,-0.31803136397417897,0,0.25789943603578686,0.07840279020093184,0.9708422051469127,0.24416568282145282,0.25240256974435077,0.04656414229962844,0.9786155119782272,0.24416568282145282,0.005496866291436087,0.0318386479013034,-0.007773306831314497
-0.9889805421249448,-2.790668002367444,3.6916259347937714,-1.144913711831702,0.10449926371173071,-0.25630052837027245,-0.49946166804091796,0,0.2815611561991976,0.05123111037228192,0.9689885138317214,0.24141934024211906,0.2609127007693597,0.06522166433662312,0.9809481756896111,0.24141934024211906,0.020648455429837898,-0.0139905539643412,-0.01195966185788977
-1.058837820836181,-2.580054919608332,3.7599646667352284,-1.2478473959703018,-0.03314806827171165,0.37826215366658855,-0.14526314506204704,0,0.25437526206169064,0.08386742236548371,0.9755729328321233,0.22307298730289613,0.26071343098319066,0.05901219866384372,0.9788056037810876,0.22307298730289613,-0.00633816892150002,0.024855223701639992,-0.003232670948964289
-1.0733300482234938,-2.919978622226595,3.638877384821502,-1.126172599670159,0.04705112311436598,-0.2161769455161702,-0.44757952827323033,0,0.25926264651168224,0.04617388112125893,0.9681727478327405,0.24486812553223403,0.25032952192270497,0.05668502631954066,0.9794205305041431,0.24486812553223403,0.00893312458897727,-0.010511145198281724,-0.011247782671402584
-1.0622285426531257,-2.783902539919219,3.6370270160254194,-1.155962440170389,0.05289671623353274,-0.0983522990658846,-0.4730401559992148,0,0.2619650304243863,0.055562621189104835,0.9677203746100108,0.23940170474504377,0.2518675084741002,0.06095506433602991,0.9796386861198355,0.23940170474504377,0.01009752195028607,-0.005392443146925073,-0.011918311509824697
-1.0226626606011144,-2.8402188487444104,3.607125491409196,-1.0745253831245765,0.03743665642443713,-0.2937778739335958,-0.420644023272662,0,0.2681666256851394,0.048011710415752085,0.9676044866663092,0.2545434344434961,0.2608836190984633,0.06336809189903571,0.9784890503089596,0.2545434344434961,0.007283006586676077,-0.015356381483283624,-0.010884563642650447
-1.043473713364051,-2.7616937809361453,3.434010752094465,-1.1044206044149418,0.06636161942210848,0.07264381999331225,-0.5840516198644775,0,0.26692253295715235,0.06149271701598465,0.9585917419864743,0.2489125229572838,0.25413963903090103,0.05743149845748111,0.976478470735426,0.2489125229572838,0.012782893926251315,0.00406121855850354,-0.017886728748951697
-1.0506227008130589,-2.9614648143548714,3.771595796047793,-1.1467298754788946,0.07231723118355546,-0.20095698240830404,-0.48741589948248,0,0.2661071313669857,0.04470463851501601,0.9714709318891934,0.24108689143700512,0.25222486191782073,0.05411619072872497,0.982282111065605,0.24108689143700512,0.013882269449164986,-0.009411552213708964,-0.010811179176411612
-1.0058422439720829,-2.516798761674523,3.4309446202743827,-1.184181017948893,0.017379611973125635,0.24770778279170372,-0.5600976353643262,0,0.26950165427139994,0.0837122699277792,0.9589440044097842,0.2343012710146241,0.2660938584640005,0.06656747069201921,0.976130468424198,0.2343012710146241,0.0034077958073994163,0.017144799235759997,-0.017186464014413816
-1.0216177007831428,-2.858983666713368,3.4407052615722726,-1.087564924653164,0.023528721190724782,-0.22701847652595242,-0.4090699087552434,0,0.2670085533033723,0.048684136634058205,0.962172969877704,0.25207709623759833,0.2624289466030299,0.060342746875422626,0.9745495072469139,0.25207709623759833,0.004579606700342409,-0.011658610241364421,-0.012376537369209961
