,0
waic,-2510.8605791292575
waic_se,54.84236465429222
p_waic,96.66199009417187
n_samples,8000
n_data_points,9943
warning,True
waic_i,"<xarray.DataArray 'waic_i' (log_lik_dim_0: 9943)>
array([-0.0137157 , -0.01799087, -0.11068626, ..., -1.42743687,
       -1.22148463, -0.53164583])
Coordinates:
  * log_lik_dim_0  (log_lik_dim_0) int64 0 1 2 3 4 ... 9938 9939 9940 9941 9942"
waic_scale,log
